Date,Adj Close
22.06.2006,26.26
23.06.2006,26.3
26.06.2006,26.35
27.06.2006,26.23
28.06.2006,25.8
29.06.2006,27.08
30.06.2006,27.11
03.07.2006,27.41
05.07.2006,27.24
06.07.2006,27.18
07.07.2006,26.77
10.07.2006,27.17
11.07.2006,27.66
12.07.2006,27.28
13.07.2006,26.76
14.07.2006,26.66
17.07.2006,28.01
18.07.2006,28.09
19.07.2006,28.31
20.07.2006,27.97
21.07.2006,28
24.07.2006,28.11
25.07.2006,28.05
26.07.2006,27.8
27.07.2006,28.02
28.07.2006,28.47
31.07.2006,28.55
01.08.2006,28.3
02.08.2006,28.72
03.08.2006,28.92
04.08.2006,28.57
07.08.2006,28.67
08.08.2006,28.37
09.08.2006,27.72
10.08.2006,28.14
11.08.2006,27.99
14.08.2006,28.01
15.08.2006,28.64
16.08.2006,29.02
17.08.2006,29.24
18.08.2006,29.19
21.08.2006,28.81
22.08.2006,28.72
23.08.2006,28.72
24.08.2006,28.95
25.08.2006,28.43
28.08.2006,28.89
29.08.2006,29.11
30.08.2006,29.17
31.08.2006,28.97
01.09.2006,29.66
05.09.2006,29.57
06.09.2006,29.22
07.09.2006,29.47
08.09.2006,30.26
11.09.2006,29.95
12.09.2006,30.82
13.09.2006,30.53
14.09.2006,30.12
15.09.2006,30.44
18.09.2006,30.19
19.09.2006,30.32
20.09.2006,30.48
21.09.2006,30.93
22.09.2006,30.83
25.09.2006,31.35
26.09.2006,31.52
27.09.2006,32.13
28.09.2006,31.94
29.09.2006,31.56
02.10.2006,31.88
03.10.2006,32.02
04.10.2006,32.27
05.10.2006,32.11
06.10.2006,32.36
09.10.2006,32.73
10.10.2006,32.95
11.10.2006,33.28
12.10.2006,34.07
13.10.2006,33.98
16.10.2006,33.98
17.10.2006,33.57
18.10.2006,33.46
19.10.2006,32.9
20.10.2006,33.46
23.10.2006,34
24.10.2006,34.09
25.10.2006,33.89
26.10.2006,33.98
27.10.2006,33.46
30.10.2006,33.82
31.10.2006,33.82
01.11.2006,33.78
02.11.2006,33.93
03.11.2006,33.27
06.11.2006,33.75
07.11.2006,33.62
08.11.2006,33.91
09.11.2006,33.96
10.11.2006,33.86
13.11.2006,34.31
14.11.2006,34.11
15.11.2006,33.97
16.11.2006,34.44
17.11.2006,34.57
20.11.2006,34.62
21.11.2006,34.76
22.11.2006,34.84
24.11.2006,34.62
27.11.2006,33.97
28.11.2006,34.22
29.11.2006,34.59
30.11.2006,34.69
01.12.2006,34.78
04.12.2006,35.13
05.12.2006,35.34
06.12.2006,35.51
07.12.2006,35.77
08.12.2006,36.17
11.12.2006,36.02
12.12.2006,35.57
13.12.2006,36.03
14.12.2006,36.11
15.12.2006,35.88
18.12.2006,35.94
19.12.2006,36.36
20.12.2006,36.25
21.12.2006,36.26
22.12.2006,36.01
26.12.2006,36.21
27.12.2006,36.64
28.12.2006,36.67
29.12.2006,36.64
03.01.2007,36.26
04.01.2007,35.99
05.01.2007,35.99
08.01.2007,36.13
09.01.2007,36.19
10.01.2007,36.58
11.01.2007,36.79
12.01.2007,36.55
16.01.2007,36.84
17.01.2007,37.08
18.01.2007,36.86
19.01.2007,37.04
22.01.2007,36.66
23.01.2007,37.07
24.01.2007,36.5
25.01.2007,35.54
26.01.2007,35.48
29.01.2007,35.73
30.01.2007,36.18
31.01.2007,36.66
01.02.2007,36.77
02.02.2007,36.81
05.02.2007,36.81
06.02.2007,37
07.02.2007,36.96
08.02.2007,36.66
09.02.2007,36.83
12.02.2007,36.97
13.02.2007,37.11
14.02.2007,37.21
